filename,split
0.pkl,val
1.pkl,train
2.pkl,val
3.pkl,val
4.pkl,train
5.pkl,val
6.pkl,val
7.pkl,train
8.pkl,val
9.pkl,train
10.pkl,train
11.pkl,val
12.pkl,val
13.pkl,val
14.pkl,train
15.pkl,train
16.pkl,val
17.pkl,val
18.pkl,val
19.pkl,train
20.pkl,val
21.pkl,train
22.pkl,val
23.pkl,val
24.pkl,train
25.pkl,train
26.pkl,val
27.pkl,val
28.pkl,train
29.pkl,train
30.pkl,val
31.pkl,val
32.pkl,val
33.pkl,train
34.pkl,val
35.pkl,val
36.pkl,val
37.pkl,val
38.pkl,train
39.pkl,val
40.pkl,val
41.pkl,train
42.pkl,val
43.pkl,train
44.pkl,val
45.pkl,train
46.pkl,train
47.pkl,val
48.pkl,val
49.pkl,val
50.pkl,train
51.pkl,train
52.pkl,train
53.pkl,train
54.pkl,train
55.pkl,val
56.pkl,val
57.pkl,train
58.pkl,train
59.pkl,train
60.pkl,train
61.pkl,train
62.pkl,val
63.pkl,train
64.pkl,val
65.pkl,val
66.pkl,train
67.pkl,val
68.pkl,train
69.pkl,val
70.pkl,train
71.pkl,val
72.pkl,train
73.pkl,train
74.pkl,train
75.pkl,val
76.pkl,train
77.pkl,train
78.pkl,val
79.pkl,val
80.pkl,train
81.pkl,val
82.pkl,val
83.pkl,val
84.pkl,train
85.pkl,train
86.pkl,val
87.pkl,train
88.pkl,train
89.pkl,val
90.pkl,train
91.pkl,val
92.pkl,train
93.pkl,val
94.pkl,train
95.pkl,val
96.pkl,train
97.pkl,train
98.pkl,train
99.pkl,train
100.pkl,train
101.pkl,train
102.pkl,val
103.pkl,val
104.pkl,val
105.pkl,train
106.pkl,train
107.pkl,train
108.pkl,val
109.pkl,train
110.pkl,val
111.pkl,train
112.pkl,train
113.pkl,val
114.pkl,train
115.pkl,train
116.pkl,train
117.pkl,val
118.pkl,train
119.pkl,train
120.pkl,train
121.pkl,train
122.pkl,train
123.pkl,train
124.pkl,val
125.pkl,train
126.pkl,val
127.pkl,val
128.pkl,val
129.pkl,train
130.pkl,train
131.pkl,train
132.pkl,train
133.pkl,train
134.pkl,val
135.pkl,train
136.pkl,val
137.pkl,val
138.pkl,val
139.pkl,train
140.pkl,train
141.pkl,val
142.pkl,val
143.pkl,val
144.pkl,val
145.pkl,train
146.pkl,val
147.pkl,val
148.pkl,train
149.pkl,train
150.pkl,train
151.pkl,val
152.pkl,train
153.pkl,val
154.pkl,train
155.pkl,train
156.pkl,train
157.pkl,train
158.pkl,val
159.pkl,train
160.pkl,val
161.pkl,train
162.pkl,val
163.pkl,train
164.pkl,train
165.pkl,train
166.pkl,train
167.pkl,train
168.pkl,val
169.pkl,train
170.pkl,train
171.pkl,train
172.pkl,train
173.pkl,train
174.pkl,val
175.pkl,val
176.pkl,val
177.pkl,train
178.pkl,train
179.pkl,val
180.pkl,train
181.pkl,train
182.pkl,val
183.pkl,val
184.pkl,val
185.pkl,val
186.pkl,val
187.pkl,val
188.pkl,train
189.pkl,val
190.pkl,train
191.pkl,train
192.pkl,train
193.pkl,train
194.pkl,train
195.pkl,train
196.pkl,val
197.pkl,val
198.pkl,val
199.pkl,train
200.pkl,val
201.pkl,val
202.pkl,val
203.pkl,val
204.pkl,train
205.pkl,val
206.pkl,val
207.pkl,val
208.pkl,train
209.pkl,val
210.pkl,train
211.pkl,val
212.pkl,val
213.pkl,train
214.pkl,val
215.pkl,train
216.pkl,val
217.pkl,train
